"REG","Région","DEP","CODARR","CODCAN","CODCOM","COM","Commune","PMUN","PCAP","PTOT"
75,"Nouvelle-Aquitaine","33",2,26,3,"33003","Ambarès-et-Lagrave",16798,165,16963
75,"Nouvelle-Aquitaine","33",6,1,5,"33005","Andernos-les-Bains",12472,274,12746
75,"Nouvelle-Aquitaine","33",6,32,9,"33009","Arcachon",11259,320,11579
75,"Nouvelle-Aquitaine","33",6,1,51,"33051","Biganos",11095,137,11232
75,"Nouvelle-Aquitaine","33",2,25,56,"33056","Blanquefort",16004,632,16636
75,"Nouvelle-Aquitaine","33",2,23,122,"33122","Cestas",16789,281,17070
75,"Nouvelle-Aquitaine","33",2,9,167,"33167","Floirac",17749,128,17877
75,"Nouvelle-Aquitaine","33",2,18,200,"33200","Le Haillan",11572,187,11759
75,"Nouvelle-Aquitaine","33",2,8,238,"33238","Léognan",10708,156,10864
75,"Nouvelle-Aquitaine","33",6,14,284,"33284","Mios",11469,190,11659
75,"Nouvelle-Aquitaine","33",2,25,312,"33312","Parempuyre",10142,102,10244
75,"Nouvelle-Aquitaine","33",1,20,366,"33366","Saint-André-de-Cubzac",12854,185,13039
75,"Nouvelle-Aquitaine","33",2,26,433,"33433","Saint-Loubès",10005,108,10113
75,"Nouvelle-Aquitaine","33",2,28,519,"33519","Le Taillan-Médoc",10727,155,10882
76,"Occitanie","34",3,10,123,"34123","Juvignac",12783,107,12890
76,"Occitanie","34",3,10,129,"34129","Lattes",17544,231,17775
76,"Occitanie","34",3,13,154,"34154","Mauguio",16596,194,16790
76,"Occitanie","34",3,14,157,"34157","Mèze",12664,170,12834
76,"Occitanie","34",2,23,255,"34255","Saint-Gély-du-Fesc",10537,273,10810
76,"Occitanie","34",3,10,270,"34270","Saint-Jean-de-Védas",12570,152,12722
76,"Occitanie","34",3,22,337,"34337","Villeneuve-lès-Maguelone",10405,116,10521
53,"Bretagne","35",3,3,24,"35024","Betton",12695,264,12959
53,"Bretagne","35",3,3,51,"35051","Cesson-Sévigné",17716,496,18212
53,"Bretagne","35",3,20,55,"35055","Chantepie",10232,159,10391
53,"Bretagne","35",3,5,69,"35069","Châteaugiron",10518,262,10780
53,"Bretagne","35",4,26,93,"35093","Dinard",10219,534,10753
53,"Bretagne","35",3,23,210,"35210","Pacé",11918,339,12257
53,"Bretagne","35",2,17,236,"35236","Redon",9312,742,10054
53,"Bretagne","35",3,3,278,"35278","Saint-Grégoire",9837,369,10206
53,"Bretagne","35",3,22,281,"35281","Saint-Jacques-de-la-Lande",13656,126,13782
53,"Bretagne","35",1,27,360,"35360","Vitré",18998,555,19553
24,"Centre-Val de Loire","36",4,9,88,"36088","Issoudun",10992,240,11232
24,"Centre-Val de Loire","37",3,1,3,"37003","Amboise",12938,392,13330
24,"Centre-Val de Loire","37",2,10,50,"37050","Chambray-lès-Tours",11589,241,11830
24,"Centre-Val de Loire","37",2,12,109,"37109","Fondettes",10741,498,11239
24,"Centre-Val de Loire","37",2,10,156,"37156","Montlouis-sur-Loire",11048,165,11213
24,"Centre-Val de Loire","37",2,2,195,"37195","La Riche",10325,109,10434
24,"Centre-Val de Loire","37",2,14,208,"37208","Saint-Avertin",15000,340,15340
24,"Centre-Val de Loire","37",2,12,214,"37214","Saint-Cyr-sur-Loire",17004,346,17350
24,"Centre-Val de Loire","37",2,14,233,"37233","Saint-Pierre-des-Corps",15909,268,16177
84,"Auvergne-Rhône-Alpes","38",2,4,85,"38085","Charvieu-Chavagneux",10280,88,10368
84,"Auvergne-Rhône-Alpes","38",1,5,158,"38158","Eybens",9974,107,10081
84,"Auvergne-Rhône-Alpes","38",2,14,193,"38193","L'Isle-d'Abeau",17206,235,17441
84,"Auvergne-Rhône-Alpes","38",1,16,229,"38229","Meylan",18573,349,18922
84,"Auvergne-Rhône-Alpes","38",1,20,317,"38317","Le Pont-de-Claix",10805,86,10891
84,"Auvergne-Rhône-Alpes","38",1,10,382,"38382","Saint-Égrève",16995,221,17216
84,"Auvergne-Rhône-Alpes","38",1,7,474,"38474","Sassenage",11660,203,11863
84,"Auvergne-Rhône-Alpes","38",1,6,485,"38485","Seyssinet-Pariset",11753,131,11884
84,"Auvergne-Rhône-Alpes","38",2,14,553,"38553","Villefontaine",19083,250,19333
84,"Auvergne-Rhône-Alpes","38",1,29,565,"38565","Voreppe",9758,379,10137
27,"Bourgogne-Franche-Comté","39",2,99,300,"39300","Lons-le-Saunier",17043,844,17887
75,"Nouvelle-Aquitaine","40",2,7,46,"40046","Biscarrosse",14551,358,14909
75,"Nouvelle-Aquitaine","40",1,5,279,"40279","Saint-Paul-lès-Dax",14317,461,14778
75,"Nouvelle-Aquitaine","40",2,11,281,"40281","Saint-Pierre-du-Mont",9871,365,10236
75,"Nouvelle-Aquitaine","40",1,15,312,"40312","Tarnos",12920,305,13225
24,"Centre-Val de Loire","41",3,10,194,"41194","Romorantin-Lanthenay",18115,454,18569
24,"Centre-Val de Loire","41",2,14,269,"41269","Vendôme",15747,630,16377
84,"Auvergne-Rhône-Alpes","42",3,1,5,"42005","Andrézieux-Bouthéon",10187,153,10340
84,"Auvergne-Rhône-Alpes","42",3,15,44,"42044","Le Chambon-Feugerolles",12066,82,12148
84,"Auvergne-Rhône-Alpes","42",3,6,95,"42095","Firminy",17137,160,17297
84,"Auvergne-Rhône-Alpes","42",1,7,147,"42147","Montbrison",16064,571,16635
84,"Auvergne-Rhône-Alpes","42",2,12,184,"42184","Riorges",11045,216,11261
84,"Auvergne-Rhône-Alpes","42",3,10,186,"42186","Rive-de-Gier",15214,134,15348
84,"Auvergne-Rhône-Alpes","42",1,20,279,"42279","Saint-Just-Saint-Rambert",15419,245,15664
84,"Auvergne-Rhône-Alpes","43",2,99,157,"43157","Le Puy-en-Velay",18629,810,19439
52,"Pays de la Loire","44",5,1,3,"44003","Ancenis-Saint-Géréon",11099,389,11488
52,"Pays de la Loire","44",5,3,15,"44015","Blain",10187,173,10360
52,"Pays de la Loire","44",5,6,36,"44036","Châteaubriant",12189,440,12629
52,"Pays de la Loire","44",3,2,55,"44055","La Baule-Escoublac",16468,566,17034
52,"Pays de la Loire","44",3,9,69,"44069","Guérande",16151,582,16733
52,"Pays de la Loire","44",3,19,129,"44129","Pontchâteau",11075,283,11358
52,"Pays de la Loire","44",3,20,131,"44131","Pornic",17910,445,18355
52,"Pays de la Loire","44",3,2,132,"44132","Pornichet",12121,309,12430
52,"Pays de la Loire","44",3,23,154,"44154","Saint-Brevin-les-Pins",14411,363,14774
52,"Pays de la Loire","44",2,4,172,"44172","Sainte-Luce-sur-Loire",15527,257,15784
52,"Pays de la Loire","44",2,4,204,"44204","Thouaré-sur-Loire",10783,171,10954
52,"Pays de la Loire","44",5,5,209,"44209","Treillières",10230,260,10490
24,"Centre-Val de Loire","45",1,2,4,"45004","Amilly",13267,568,13835
24,"Centre-Val de Loire","45",1,2,68,"45068","Châlette-sur-Loing",12728,226,12954
24,"Centre-Val de Loire","45",2,19,75,"45075","La Chapelle-Saint-Mesmin",10218,196,10414
24,"Centre-Val de Loire","45",1,7,155,"45155","Gien",13387,398,13785
24,"Centre-Val de Loire","45",1,11,208,"45208","Montargis",15061,439,15500
24,"Centre-Val de Loire","45",2,19,285,"45285","Saint-Jean-de-la-Ruelle",16594,246,16840
24,"Centre-Val de Loire","45",2,15,302,"45302","Saran",16679,209,16888
76,"Occitanie","46",2,99,102,"46102","Figeac",9770,594,10364
75,"Nouvelle-Aquitaine","47",2,98,157,"47157","Marmande",17239,502,17741
76,"Occitanie","48",2,99,95,"48095","Mende",12316,771,13087
52,"Pays de la Loire","49",1,4,15,"49015","Avrillé",14938,392,15330
52,"Pays de la Loire","49",3,8,18,"49018","Baugé-en-Anjou",11757,240,11997
52,"Pays de la Loire","49",1,86,50,"49050","Brissac Loire Aubance",10895,280,11175
52,"Pays de la Loire","49",2,16,69,"49069","Orée d'Anjou",16709,311,17020
52,"Pays de la Loire","49",3,14,125,"49125","Doué-en-Anjou",11228,239,11467
52,"Pays de la Loire","49",2,9,218,"49218","Montrevault-sur-Èvre",15755,300,16055
52,"Pays de la Loire","49",2,16,244,"49244","Mauges-sur-Loire",18331,493,18824
52,"Pays de la Loire","49",1,17,246,"49246","Les Ponts-de-Cé",12725,546,13271
52,"Pays de la Loire","49",1,7,307,"49307","Loire-Authion",16416,576,16992
52,"Pays de la Loire","49",4,20,331,"49331","Segré-en-Anjou Bleu",17699,797,18496
52,"Pays de la Loire","49",1,7,353,"49353","Trélazé",15358,186,15544
28,"Normandie","50",1,84,25,"50025","Avranches",10240,508,10748
28,"Normandie","50",2,14,41,"50041","La Hague",11223,295,11518
28,"Normandie","50",4,83,99,"50099","Carentan-les-Marais",10220,156,10376
28,"Normandie","50",1,13,218,"50218","Granville",12581,698,13279
44,"Grand Est","51",3,14,573,"51573","Tinqueux",10552,130,10682
44,"Grand Est","51",4,23,649,"51649","Vitry-le-François",11454,208,11662
52,"Pays de la Loire","53",1,88,62,"53062","Château-Gontier-sur-Mayenne",16710,660,17370
52,"Pays de la Loire","53",3,14,147,"53147","Mayenne",12900,677,13577
44,"Grand Est","54",3,6,304,"54304","Laxou",14671,183,14854
44,"Grand Est","54",1,7,323,"54323","Longwy",15191,226,15417
44,"Grand Est","54",2,98,329,"54329","Lunéville",17755,296,18051
44,"Grand Est","54",3,21,357,"54357","Maxéville",9921,116,10037
44,"Grand Est","54",3,18,431,"54431","Pont-à-Mousson",14338,210,14548
44,"Grand Est","54",3,19,482,"54482","Saint-Max",10073,86,10159
44,"Grand Est","54",4,20,528,"54528","Toul",15849,212,16061
44,"Grand Est","54",3,6,578,"54578","Villers-lès-Nancy",14761,325,15086
44,"Grand Est","54",1,23,580,"54580","Villerupt",10069,89,10158
44,"Grand Est","55",1,98,29,"55029","Bar-le-Duc",14668,564,15232
44,"Grand Est","55",3,99,545,"55545","Verdun",16689,969,17658
53,"Bretagne","56",1,1,7,"56007","Auray",14222,369,14591
53,"Bretagne","56",1,5,78,"56078","Guidel",11947,306,12253
53,"Bretagne","56",1,6,83,"56083","Hennebont",15746,450,16196
53,"Bretagne","56",1,12,162,"56162","Ploemeur",18591,637,19228
53,"Bretagne","56",2,13,165,"56165","Ploërmel",9879,537,10416
53,"Bretagne","56",2,15,178,"56178","Pontivy",14774,856,15630
53,"Bretagne","56",3,21,206,"56206","Saint-Avé",11927,287,12214
44,"Grand Est","57",9,18,19,"57019","Amnéville",10828,80,10908
44,"Grand Est","57",3,3,160,"57160","Creutzwald",12514,190,12704
44,"Grand Est","57",7,6,206,"57206","Fameck",14798,167,14965
44,"Grand Est","57",7,6,221,"57221","Florange",11869,105,11974
44,"Grand Est","57",3,9,240,"57240","Freyming-Merlebach",13027,120,13147
44,"Grand Est","57",7,10,306,"57306","Hayange",15968,214,16182
44,"Grand Est","57",9,24,433,"57433","Maizières-lès-Metz",11792,98,11890
44,"Grand Est","57",9,15,447,"57447","Marly",9971,215,10186
44,"Grand Est","57",3,19,606,"57606","Saint-Avold",15045,313,15358
44,"Grand Est","57",5,21,630,"57630","Sarrebourg",12359,302,12661
44,"Grand Est","57",3,25,660,"57660","Stiring-Wendel",11067,113,11180
44,"Grand Est","57",9,24,751,"57751","Woippy",14302,112,14414
44,"Grand Est","57",7,27,757,"57757","Yutz",17401,282,17683
32,"Hauts-de-France","59",3,1,8,"59008","Aniche",9997,60,10057
32,"Hauts-de-France","59",5,2,11,"59011","Annœullin",10780,99,10879
32,"Hauts-de-France","59",6,3,14,"59014","Anzin",13422,82,13504
32,"Hauts-de-France","59",4,8,43,"59043","Bailleul",14869,229,15098
32,"Hauts-de-France","59",6,3,112,"59112","Bruay-sur-l'Escaut",11309,54,11363
32,"Hauts-de-France","59",2,11,139,"59139","Caudry",14070,150,14220
32,"Hauts-de-France","59",5,22,152,"59152","Comines",12671,80,12751
32,"Hauts-de-France","59",6,14,179,"59179","Douchy-les-Mines",10207,45,10252
32,"Hauts-de-France","59",5,18,220,"59220","Faches-Thumesnil",18110,117,18227
32,"Hauts-de-France","59",1,19,249,"59249","Fourmies",11456,176,11632
32,"Hauts-de-France","59",4,20,273,"59273","Gravelines",11223,170,11393
32,"Hauts-de-France","59",5,18,286,"59286","Haubourdin",14757,107,14864
32,"Hauts-de-France","59",1,7,291,"59291","Hautmont",14182,74,14256
32,"Hauts-de-France","59",5,13,299,"59299","Hem",18713,156,18869
32,"Hauts-de-France","59",1,30,324,"59324","Jeumont",10342,91,10433
32,"Hauts-de-France","59",5,13,367,"59367","Lys-lez-Lannoy",13793,136,13929
32,"Hauts-de-France","59",6,29,383,"59383","Marly",12024,122,12146
32,"Hauts-de-France","59",5,23,386,"59386","Marquette-lez-Lille",11213,64,11277
32,"Hauts-de-France","59",5,24,421,"59421","Mouvaux",13173,189,13362
32,"Hauts-de-France","59",5,37,426,"59426","Neuville-en-Ferrain",10160,68,10228
32,"Hauts-de-France","59",6,34,491,"59491","Raismes",12055,53,12108
32,"Hauts-de-France","59",5,26,507,"59507","Ronchin",19437,136,19573
32,"Hauts-de-France","59",5,37,508,"59508","Roncq",13784,113,13897
32,"Hauts-de-France","59",6,34,526,"59526","Saint-Amand-les-Eaux",15980,180,16160
32,"Hauts-de-France","59",5,23,527,"59527","Saint-André-lez-Lille",12942,111,13053
32,"Hauts-de-France","59",6,39,544,"59544","Saint-Saulve",11117,151,11268
32,"Hauts-de-France","59",5,18,560,"59560","Seclin",12834,94,12928
32,"Hauts-de-France","59",3,35,569,"59569","Sin-le-Noble",15603,102,15705
32,"Hauts-de-France","59",3,35,574,"59574","Somain",11790,91,11881
32,"Hauts-de-France","59",6,29,616,"59616","Vieux-Condé",10446,58,10504
32,"Hauts-de-France","59",5,23,636,"59636","Wambrechies",10798,114,10912
