CODGEO;Physiologique;Sécurité;Appartenance;Estime;Actualisation de soi;Cognitif
1382;0;0;0;0;0;0
1383;0;0;8;0;0;35
1384;0;134;12;5;0;0
1385;0;0;4;0;0;0
1386;0;0;4;0;0;0
1387;0;0;4;0;0;0
1388;54;134;4;0;0;0
1389;0;67;4;0;0;35
1390;0;67;4;0;0;0
1391;0;0;0;0;0;0
1392;0;0;4;0;0;0
1393;0;0;4;0;0;0
1396;0;0;4;0;0;0
1397;0;0;4;0;0;0
1398;0;0;4;0;0;0
1399;0;0;4;10;23;35
1400;0;0;4;0;0;0
1401;0;0;4;5;0;0
1402;0;0;4;0;0;0
1403;54;67;4;0;0;0
1404;0;0;0;0;0;0
1405;0;0;8;0;0;0
1406;0;0;0;0;0;0
1407;54;0;4;0;0;0
1408;0;0;4;0;0;0
1410;0;0;0;0;0;0
1411;0;0;0;0;0;0
1412;0;0;8;0;0;0
1415;0;67;4;0;0;0
1416;0;67;4;0;0;35
1418;0;0;0;0;0;0
1419;54;0;4;180;92;70
1420;0;67;8;5;0;0
1421;0;0;4;0;0;0
1422;0;0;4;0;23;0
1423;0;0;4;0;0;0
1424;0;0;4;0;0;0
1425;0;0;0;0;0;0
1426;0;67;8;0;0;0
1427;108;0;8;0;46;70
1428;0;0;0;0;0;0
1429;0;0;4;0;0;0
1430;0;0;4;0;0;0
1431;0;0;8;0;0;0
1432;0;0;0;0;0;0
1433;0;0;0;0;0;0
1434;0;0;12;0;0;0
1435;54;0;0;0;0;0
1436;0;0;0;0;0;0
1437;0;0;0;0;0;0
1439;0;0;0;0;0;0
1441;0;0;0;0;0;0
1443;54;134;8;5;0;35
1444;0;0;4;0;0;0
1445;0;0;4;5;0;0
1446;0;0;4;0;0;0
1447;0;67;8;0;0;0
1448;0;0;4;0;0;0
1449;0;0;8;5;0;0
1450;0;67;0;10;0;0
1451;162;67;12;55;92;105
1452;0;0;8;0;0;0
1453;0;0;8;0;0;0
1454;0;0;0;0;23;0
1456;0;0;0;0;0;0
1457;0;67;4;0;0;35
2001;0;0;4;0;0;0
2002;0;0;0;0;0;0
2003;0;0;0;0;0;0
2004;0;0;0;0;0;0
2005;0;0;4;0;0;0
2006;0;0;0;0;0;0
2007;0;0;0;0;0;0
2008;0;0;0;0;0;0
2009;0;0;4;0;0;0
2010;0;0;4;0;0;0
2011;0;0;4;0;0;0
2012;0;0;0;0;0;0
2013;0;0;4;0;0;0
2014;0;0;4;0;0;0
2015;0;0;0;0;0;0
2016;0;0;0;0;0;0
2017;0;0;0;0;0;0
2018;0;0;16;5;0;35
2019;0;0;0;0;0;0
2020;0;0;4;0;0;0
2021;0;0;0;0;0;0
2022;0;0;0;0;0;0
2023;0;0;0;0;0;0
2024;0;0;0;0;0;0
2025;0;0;0;0;0;0
2027;0;0;0;0;0;0
2028;0;0;8;0;0;35
2029;0;0;0;0;0;0
2030;0;0;0;0;0;0
2031;0;0;4;0;0;0
2032;54;0;4;0;0;0
2033;0;0;0;0;0;0
2034;0;0;0;0;0;0
2035;0;0;4;0;0;0
2036;0;0;0;0;0;0
2037;0;0;4;0;0;0
2038;0;0;4;0;0;0
2039;0;0;4;0;0;0
2040;0;0;4;0;0;0
2041;0;0;0;0;0;0
2042;0;0;4;0;0;0
2043;0;0;0;0;0;0
2044;0;0;0;0;0;0
2046;0;0;4;0;0;0
2047;0;0;0;0;0;0
2048;0;0;0;0;0;0
2049;0;0;4;0;0;0
2050;0;0;0;0;0;0
2051;0;67;0;0;0;0
2052;0;0;0;0;0;0
2053;0;0;8;0;0;0
2054;0;0;4;0;0;0
2055;0;0;4;0;0;0
2056;0;0;4;0;0;0
2057;54;67;8;0;23;0
2058;0;0;4;5;0;0
2059;0;0;4;0;0;0
2060;0;0;4;0;0;0
2061;0;0;0;0;0;0
2062;0;0;4;0;0;0
2063;0;0;4;0;0;0
2064;0;0;0;0;46;0
2065;0;0;4;0;0;0
2066;0;0;4;0;0;0
2067;0;0;0;0;0;0
2068;0;0;0;0;0;0
2069;0;0;0;0;0;0
2070;0;0;0;0;0;0
2071;0;0;4;0;0;0
2072;0;0;0;0;0;0
2073;0;0;0;0;0;0
2074;0;0;4;0;0;0
2075;0;0;0;0;0;0
2076;0;0;4;0;0;0
2077;0;0;4;0;0;0
2078;0;0;0;0;0;0
2079;0;0;0;0;0;0
2080;0;0;0;0;0;0
2081;0;0;0;0;0;0
2082;0;0;0;0;0;0
2083;0;0;4;0;0;0
2084;0;0;0;0;0;0
2085;0;0;8;0;0;0
2086;0;0;0;0;0;0
2087;0;0;0;0;0;0
2088;0;0;0;0;0;0
2089;0;0;0;10;0;0
2090;0;0;4;0;0;0
2091;0;0;4;0;0;0
2093;0;0;0;5;0;0
