"REG" "Région" "DEP" "CODARR" "CODCAN" "CODCOM" "COM" "Commune" "PMUN" "PCAP" "PTOT" "Physiologique" "Sécurité" "Appartenance" "Estime" "Actualisation.de.soi" "Cognitif" "latitude" "longitude"
"157" 84 "Auvergne-Rhône-Alpes" "38" 2 14 193 "38193" "L'Isle-d'Abeau" 17206 235 17441 378 67 12 125 69 70 45.6230017 5.2298398
"158" 84 "Auvergne-Rhône-Alpes" "38" 1 16 229 "38229" "Meylan" 18573 349 18922 324 201 12 35 92 175 45.2097372 5.778361
"159" 84 "Auvergne-Rhône-Alpes" "38" 1 20 317 "38317" "Le Pont-de-Claix" 10805 86 10891 216 67 12 0 0 70 45.1236837 5.6978136
"160" 84 "Auvergne-Rhône-Alpes" "38" 1 10 382 "38382" "Saint-Égrève" 16995 221 17216 270 67 8 65 207 280 45.2325079 5.681781
"161" 84 "Auvergne-Rhône-Alpes" "38" 1 7 474 "38474" "Sassenage" 11660 203 11863 108 67 8 5 23 140 45.2066078 5.6629992
"162" 84 "Auvergne-Rhône-Alpes" "38" 1 6 485 "38485" "Seyssinet-Pariset" 11753 131 11884 162 67 4 20 46 70 45.1790768 5.6899617
"163" 84 "Auvergne-Rhône-Alpes" "38" 2 14 553 "38553" "Villefontaine" 19083 250 19333 432 0 4 280 207 35 45.614003 5.1580574
"164" 27 "Bourgogne-Franche-Comté" "39" 2 99 300 "39300" "Lons-le-Saunier" 17043 844 17887 270 402 12 265 46 455 46.6727037 5.5589973
"165" 75 "Nouvelle-Aquitaine" "40" 2 7 46 "40046" "Biscarrosse" 14551 358 14909 108 67 8 180 345 105 44.3907065 -1.1609361
"166" 75 "Nouvelle-Aquitaine" "40" 1 5 279 "40279" "Saint-Paul-lès-Dax" 14317 461 14778 54 134 4 160 138 35 43.7253162 -1.0515491
"167" 75 "Nouvelle-Aquitaine" "40" 1 15 312 "40312" "Tarnos" 12920 305 13225 162 67 4 20 46 70 43.5405622 -1.4611915
"168" 24 "Centre-Val de Loire" "41" 3 10 194 "41194" "Romorantin-Lanthenay" 18115 454 18569 162 134 12 110 115 70 47.3592182 1.7434925
"169" 24 "Centre-Val de Loire" "41" 2 14 269 "41269" "Vendôme" 15747 630 16377 162 335 8 170 138 210 47.7934453 1.0662256
