"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
27;"Bourgogne-Franche-Comté";"25";2;1;31;"25031";"Audincourt";13944;235;14179;162;67;4;85;69;105
27;"Bourgogne-Franche-Comté";"25";3;16;462;"25462";"Pontarlier";17849;867;18716;162;0;12;315;207;245
27;"Bourgogne-Franche-Comté";"25";2;19;580;"25580";"Valentigney";10765;191;10956;54;0;4;0;0;70
84;"Auvergne-Rhône-Alpes";"26";3;15;58;"26058";"Bourg-lès-Valence";19581;539;20120;162;67;4;15;115;105
84;"Auvergne-Rhône-Alpes";"26";2;14;235;"26235";"Pierrelatte";13799;257;14056;54;134;8;60;46;140
84;"Auvergne-Rhône-Alpes";"26";3;17;252;"26252";"Portes-lès-Valence";10422;161;10583;54;201;12;10;23;35
28;"Normandie";"27";1;13;284;"27284";"Gisors";11919;198;12117;216;201;8;85;23;35
28;"Normandie";"27";1;14;375;"27375";"Louviers";18350;374;18724;324;201;8;105;46;245
28;"Normandie";"27";1;21;701;"27701";"Val-de-Reuil";12647;283;12930;162;67;16;10;23;35
24;"Centre-Val de Loire";"28";2;7;88;"28088";"Châteaudun";12909;315;13224;108;201;16;80;92;105
24;"Centre-Val de Loire";"28";1;12;218;"28218";"Lucé";15602;180;15782;162;67;8;55;23;70
24;"Centre-Val de Loire";"28";1;6;229;"28229";"Mainvilliers";11057;236;11293;108;0;8;10;69;0
24;"Centre-Val de Loire";"28";3;8;404;"28404";"Vernouillet";12455;160;12615;216;134;4;30;23;70
53;"Bretagne";"29";4;10;46;"29046";"Douarnenez";14163;397;14560;54;268;8;80;138;210
53;"Bretagne";"29";4;11;58;"29058";"Fouesnant";10098;499;10597;54;67;8;65;46;35
53;"Bretagne";"29";1;12;75;"29075";"Guipavas";15460;363;15823;216;201;8;15;69;105
53;"Bretagne";"29";1;13;103;"29103";"Landerneau";16206;613;16819;54;67;4;105;92;105
53;"Bretagne";"29";3;17;151;"29151";"Morlaix";14903;467;15370;108;134;12;175;46;315
53;"Bretagne";"29";1;12;189;"29189";"Plougastel-Daoulas";13445;362;13807;108;67;4;5;92;0
53;"Bretagne";"29";1;3;212;"29212";"Plouzané";13473;274;13747;54;67;4;10;23;0
53;"Bretagne";"29";4;25;233;"29233";"Quimperlé";12313;469;12782;108;67;16;80;0;140
53;"Bretagne";"29";1;12;235;"29235";"Le Relecq-Kerhuon";11791;216;12007;108;134;4;0;46;0
94;"Corse";"2A";4;99;247;"2A247";"Porto-Vecchio";11229;153;11382;162;67;0;465;483;140
76;"Occitanie";"30";2;5;28;"30028";"Bagnols-sur-Cèze";18248;351;18599;108;268;12;150;46;315
76;"Occitanie";"30";2;6;32;"30032";"Beaucaire";15680;156;15836;108;134;4;40;69;105
76;"Occitanie";"30";2;14;202;"30202";"Pont-Saint-Esprit";10600;181;10781;54;134;4;30;46;175
76;"Occitanie";"30";2;19;258;"30258";"Saint-Gilles";14264;127;14391;108;67;4;20;0;105
76;"Occitanie";"30";2;21;341;"30341";"Vauvert";11774;103;11877;54;67;8;20;69;35
76;"Occitanie";"30";2;23;351;"30351";"Villeneuve-lès-Avignon";12617;350;12967;108;201;8;10;0;35
76;"Occitanie";"31";1;1;33;"31033";"Auterive";10126;133;10259;162;134;4;30;23;70
76;"Occitanie";"31";3;24;44;"31044";"Balma";17385;292;17677;378;67;12;40;92;70
76;"Occitanie";"31";3;4;113;"31113";"Castanet-Tolosan";14903;225;15128;108;67;4;15;0;70
76;"Occitanie";"31";3;5;116;"31116";"Castelginest";10876;119;10995;108;67;8;25;23;35
76;"Occitanie";"31";1;11;187;"31187";"Fonsorbes";12546;344;12890;162;0;12;25;23;70
76;"Occitanie";"31";3;11;424;"31424";"Plaisance-du-Touch";19944;376;20320;162;134;4;20;92;70
76;"Occitanie";"31";3;25;446;"31446";"Ramonville-Saint-Agne";14949;263;15212;432;134;8;15;69;0
76;"Occitanie";"31";2;14;483;"31483";"Saint-Gaudens";11613;558;12171;216;201;4;115;46;105
76;"Occitanie";"31";3;23;488;"31488";"Saint-Jean";11243;166;11409;108;0;8;20;0;0
76;"Occitanie";"31";3;4;506;"31506";"Saint-Orens-de-Gameville";13766;256;14022;162;134;12;165;69;70
76;"Occitanie";"31";3;23;561;"31561";"L'Union";12358;188;12546;270;134;32;40;46;140
76;"Occitanie";"31";3;26;588;"31588";"Villeneuve-Tolosane";10369;130;10499;108;67;4;0;23;0
75;"Nouvelle-Aquitaine";"33";2;26;3;"33003";"Ambarès-et-Lagrave";16798;165;16963;108;134;12;20;23;35
75;"Nouvelle-Aquitaine";"33";6;1;5;"33005";"Andernos-les-Bains";12472;274;12746;108;134;12;165;115;105
75;"Nouvelle-Aquitaine";"33";6;32;9;"33009";"Arcachon";11259;320;11579;162;268;0;475;207;245
75;"Nouvelle-Aquitaine";"33";6;1;51;"33051";"Biganos";11095;137;11232;108;134;4;120;46;70
75;"Nouvelle-Aquitaine";"33";2;25;56;"33056";"Blanquefort";16004;632;16636;270;134;8;20;69;35
75;"Nouvelle-Aquitaine";"33";2;23;122;"33122";"Cestas";16789;281;17070;216;335;0;35;92;105
75;"Nouvelle-Aquitaine";"33";2;9;167;"33167";"Floirac";17749;128;17877;162;134;8;10;23;70
75;"Nouvelle-Aquitaine";"33";2;18;200;"33200";"Le Haillan";11572;187;11759;270;67;4;5;0;105
75;"Nouvelle-Aquitaine";"33";2;8;238;"33238";"Léognan";10708;156;10864;54;134;8;15;0;35
75;"Nouvelle-Aquitaine";"33";6;14;284;"33284";"Mios";11469;190;11659;54;67;4;10;23;0
75;"Nouvelle-Aquitaine";"33";2;25;312;"33312";"Parempuyre";10142;102;10244;54;67;4;15;46;35
75;"Nouvelle-Aquitaine";"33";1;20;366;"33366";"Saint-André-de-Cubzac";12854;185;13039;54;67;8;75;92;140
75;"Nouvelle-Aquitaine";"33";2;26;433;"33433";"Saint-Loubès";10005;108;10113;54;67;0;15;46;35
75;"Nouvelle-Aquitaine";"33";2;28;519;"33519";"Le Taillan-Médoc";10727;155;10882;108;67;0;20;0;105
76;"Occitanie";"34";3;10;123;"34123";"Juvignac";12783;107;12890;54;67;4;35;46;35
76;"Occitanie";"34";3;10;129;"34129";"Lattes";17544;231;17775;270;201;8;155;207;70
76;"Occitanie";"34";3;13;154;"34154";"Mauguio";16596;194;16790;162;67;8;75;368;210
76;"Occitanie";"34";3;14;157;"34157";"Mèze";12664;170;12834;162;134;8;20;23;140
76;"Occitanie";"34";2;23;255;"34255";"Saint-Gély-du-Fesc";10537;273;10810;54;134;4;15;115;105
76;"Occitanie";"34";3;10;270;"34270";"Saint-Jean-de-Védas";12570;152;12722;54;67;4;125;207;35
76;"Occitanie";"34";3;22;337;"34337";"Villeneuve-lès-Maguelone";10405;116;10521;54;67;0;20;0;35
53;"Bretagne";"35";3;3;24;"35024";"Betton";12695;264;12959;108;134;0;5;23;35
